k,table1,sort_+_table2,write,total_time,GPU,storage_type
27,0.219,0.300,2.595,3.596,0,nfs_nvme
27,0.221,0.299,2.328,3.336,1,nfs_nvme
27,0.221,0.299,2.254,3.249,2,nfs_nvme
28,0.455,0.438,4.204,5.568,0,nfs_nvme
28,0.455,0.438,5.171,6.564,1,nfs_nvme
28,0.455,0.438,4.843,6.227,2,nfs_nvme
29,0.926,1.085,8.558,11.053,0,nfs_nvme
29,0.926,1.086,8.220,10.742,1,nfs_nvme
29,0.926,1.086,8.520,11.019,2,nfs_nvme
30,1.872,4.149,15.628,22.139,0,nfs_nvme
30,1.871,4.164,15.614,22.167,1,nfs_nvme
30,1.870,4.153,15.845,22.362,2,nfs_nvme
31,3.770,17.911,28.061,50.265,0,nfs_nvme
31,3.771,17.901,33.299,55.482,1,nfs_nvme
31,3.766,17.933,32.594,54.786,2,nfs_nvme